USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rushikeshgade      709   0.0  0.2 426956864  16528   ??  S     5:31PM   0:00.33 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
rushikeshgade      710   0.0  0.0 426912032   2704   ??  S     5:31PM   0:00.01 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
rushikeshgade      696   0.0  0.7 427025376  56608   ??  Ss    5:31PM   0:00.73 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
rushikeshgade      708   0.0  0.3 426966288  23600   ??  S     5:31PM   0:00.89 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
rushikeshgade      707   0.0  0.5 426973392  41856   ??  S     5:31PM   0:01.17 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
rushikeshgade      706   0.0  0.1 426898576  10464   ??  Ss    5:31PM   0:00.67 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
rushikeshgade      705   0.0  0.2 426953664  14208   ??  S     5:31PM   0:00.74 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
rushikeshgade      704   0.0  0.1 410762096   7584   ??  Ss    5:31PM   0:00.04 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
rushikeshgade      703   0.0  0.5 431276528  44720   ??  S     5:31PM   0:01.54 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
rushikeshgade      700   0.0  0.5 427110672  38960   ??  S     5:31PM   0:01.23 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
rushikeshgade      699   0.0  0.6 412010224  46512   ??  S     5:31PM   0:01.08 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
rushikeshgade      698   0.0  0.1 427058416   5328   ??  S     5:31PM   0:00.09 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
rushikeshgade      697   0.0  0.3 411291264  24656   ??  S     5:31PM   0:02.01 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
rushikeshgade      643   0.0  0.2 426951600  17072   ??  S     5:31PM   0:03.41 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
root               695   0.0  0.1 426950672   6624   ??  Ss    5:31PM   0:00.09 /usr/libexec/wifianalyticsd
rushikeshgade      688   0.0  0.1 426926800  11968   ??  Ss    5:31PM   0:00.31 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
_gamecontrollerd   548   0.0  0.1 426916864   5696   ??  Ss    5:31PM   0:00.21 /usr/libexec/gamecontrollerd
rushikeshgade      694   0.0  0.5 426957344  45664   ??  S     5:31PM   0:01.06 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
rushikeshgade      692   0.0  0.1 426916288   4672   ??  S     5:31PM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
rushikeshgade      691   0.0  0.2 426955600  14160   ??  S     5:31PM   0:00.13 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
rushikeshgade      690   0.0  0.1 426950352  10944   ??  S     5:31PM   0:00.13 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
rushikeshgade      687   0.0  0.2 426957472  16960   ??  S     5:31PM   0:00.52 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
root               686   0.0  0.1 426950512   7120   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
rushikeshgade      680   0.0  0.1 426960032   9344   ??  S     5:31PM   0:00.07 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
rushikeshgade      684   0.0  0.2 426956400  16688   ??  S     5:31PM   0:05.42 /System/Library/Frameworks/Contacts.framework/Support/contactsd
rushikeshgade      685   0.0  0.1 426950176   6208   ??  Ss    5:31PM   0:00.11 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
rushikeshgade      682   0.0  0.1 426949584   9584   ??  S     5:31PM   0:00.13 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
rushikeshgade      683   0.0  0.1 410635392   8688   ??  S     5:31PM   0:00.20 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
rushikeshgade      639   0.0  0.4 426970928  32544   ??  S     5:31PM   0:01.63 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
rushikeshgade      649   0.0  0.0 410604896    832   ??  S     5:31PM   0:00.04 /bin/sh /opt/homebrew/opt/mysql/bin/mysqld_safe --datadir=/opt/homebrew/var/mysql
rushikeshgade      679   0.0  0.2 426969520  18272   ??  Ss    5:31PM   0:01.62 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
rushikeshgade      677   0.0  0.2 426959856  16992   ??  S     5:31PM   0:00.36 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
rushikeshgade      675   0.0  0.1 426950576   5424   ??  S     5:31PM   0:00.04 /System/Library/CoreServices/pbs
root               678   0.0  0.0 426950192   4144   ??  Ss    5:31PM   0:00.08 /usr/libexec/mobileactivationd
rushikeshgade      676   0.0  0.2 426997904  19424   ??  S     5:31PM   0:00.29 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
rushikeshgade      651   0.0  0.2 426962976  19968   ??  S     5:31PM   0:00.50 /usr/sbin/usernoted
rushikeshgade      672   0.0  0.2 426956048  12912   ??  S     5:31PM   0:00.11 /usr/libexec/milod
rushikeshgade      673   0.0  0.3 426962512  28928   ??  S     5:31PM   0:01.49 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
rushikeshgade      670   0.0  0.1 426950624   6640   ??  S     5:31PM   0:00.54 /System/Library/CoreServices/lockoutagent
rushikeshgade      668   0.0  0.1 426916400   5056   ??  S     5:31PM   0:00.03 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
rushikeshgade      657   0.0  0.4 427167664  29680   ??  S     5:31PM   0:01.36 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
rushikeshgade      667   0.0  0.1 426916752   4640   ??  S     5:31PM   0:00.03 /System/Library/CoreServices/APFSUserAgent
rushikeshgade      663   0.0  0.2 426963744  18288   ??  S     5:31PM   0:00.24 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
rushikeshgade      666   0.0  0.3 426966128  22576   ??  S     5:31PM   0:12.35 /usr/libexec/nsurlsessiond
rushikeshgade      638   0.0  0.6 427016880  49456   ??  S     5:31PM   0:05.64 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
rushikeshgade      650   0.0  0.0 426950176   3392   ??  S     5:31PM   0:00.05 /System/Library/Image Capture/Support/icdd
rushikeshgade      637   0.0  0.4 426962688  35856   ??  S     5:31PM   0:02.86 /System/Library/PrivateFrameworks/HearingCore.framework/heard
_nearbyd           674   0.0  0.1 426971136  11728   ??  Ss    5:31PM   0:00.33 /usr/libexec/nearbyd
rushikeshgade      655   0.0  0.4 426968976  31040   ??  S     5:31PM   0:01.22 /usr/libexec/sharingd
root               669   0.0  0.2 426962160  15008   ??  Ss    5:31PM   0:00.17 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
rushikeshgade      664   0.0  0.1 426917360   4768   ??  Ss    5:31PM   0:00.03 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
rushikeshgade      659   0.0  0.5 411829696  44160   ??  S     5:31PM   0:00.28 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
rushikeshgade      648   0.0  0.3 411385760  22192   ??  S     5:31PM   0:01.88 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
rushikeshgade      656   0.0  0.2 410979392  14752   ??  S     5:31PM   0:00.12 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
rushikeshgade      645   0.0  0.5 411746672  45200   ??  S     5:31PM   0:00.91 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
rushikeshgade      646   0.0  0.1 410694096   9968   ??  S     5:31PM   0:00.04 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
root               665   0.0  0.1 426916256   4544   ??  Ss    5:31PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
rushikeshgade      636   0.0  0.2 426950624  12624   ??  S     5:31PM   0:00.24 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
rushikeshgade      632   0.0  0.1 426916240   8608   ??  S     5:31PM   0:00.07 /usr/libexec/findmydevice-user-agent
rushikeshgade      631   0.0  0.1 426960080   7184   ??  S     5:31PM   0:00.12 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
rushikeshgade      634   0.0  0.1 426950464  12048   ??  S     5:31PM   0:00.08 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_ctkd              633   0.0  0.0 426916848   2816   ??  Ss    5:31PM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
rushikeshgade      630   0.0  0.3 411393520  21888   ??  S     5:31PM   0:00.31 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
rushikeshgade      627   0.0  0.3 426965968  25584   ??  S     5:31PM   0:00.89 /usr/libexec/transparencyd
rushikeshgade      628   0.0  0.3 426965744  24096   ??  S     5:31PM   0:00.42 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
rushikeshgade      626   0.0  0.4 426967744  33200   ??  S     5:31PM   0:20.49 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
rushikeshgade      629   0.0  0.1 426950416   8656   ??  S     5:31PM   0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
rushikeshgade      625   0.0  0.2 426957504  14256   ??  S     5:31PM   0:00.18 /usr/libexec/findmylocateagent
_oahd              624   0.0  0.0 426912624   1232   ??  Ss    5:31PM   0:00.01 /usr/libexec/rosetta/oahd
rushikeshgade      623   0.0  0.0 34031932    408   ??  Ss    5:31PM   0:00.87 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
rushikeshgade      620   0.0  0.2 426967120  16608   ??  S     5:31PM   0:02.52 /usr/libexec/replayd
rushikeshgade      619   0.0  0.2 426973600  12896   ??  S     5:31PM   0:00.56 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
rushikeshgade      618   0.0  0.1 426950192   7696   ??  S     5:31PM   0:00.13 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
root               615   0.0  0.0 410306240   4112   ??  Ss    5:31PM   0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
rushikeshgade      621   0.0  0.1 426959408  10048   ??  S     5:31PM   0:00.11 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
rushikeshgade      616   0.0  0.2 426954880  12816   ??  S     5:31PM   0:00.09 /usr/libexec/intelligentroutingd
rushikeshgade      617   0.0  0.3 426954016  25040   ??  S     5:31PM   0:00.32 /System/Library/CoreServices/audioaccessoryd
rushikeshgade      614   0.0  0.3 426961552  25568   ??  S     5:31PM   0:00.53 /usr/libexec/rapportd
rushikeshgade      613   0.0  0.3 426967760  24608   ??  S     5:31PM   0:00.54 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
rushikeshgade      612   0.0  0.2 427333904  17008   ??  S     5:31PM   0:00.27 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
rushikeshgade      611   0.0  0.0 426917760   3808   ??  S     5:31PM   0:00.05 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
rushikeshgade      608   0.0  0.1 426950752  10848   ??  S     5:31PM   0:00.09 /usr/libexec/icloudmailagent
rushikeshgade      607   0.0  0.1 426946064   6336   ??  S     5:31PM   0:00.04 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
rushikeshgade      606   0.0  0.2 426952144  16448   ??  S     5:31PM   0:01.66 /usr/libexec/triald
rushikeshgade      610   0.0  0.3 410935968  22896   ??  Ss    5:31PM   0:05.42 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
rushikeshgade      609   0.0  0.1 426951008  10960   ??  S     5:31PM   0:02.88 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
rushikeshgade      603   0.0  0.2 426961776  19440   ??  S     5:31PM   0:02.71 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
root               605   0.0  0.1 426956944  12032   ??  Ss    5:31PM   0:00.53 /usr/libexec/wifip2pd
rushikeshgade      604   0.0  0.1 426917360   4768   ??  Ss    5:31PM   0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
root               602   0.0  0.0 426912656   2416   ??  Ss    5:31PM   0:00.01 /usr/libexec/wallpaperexportd
root               601   0.0  0.1 426957408   8896   ??  Ss    5:31PM   0:00.49 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
rushikeshgade      600   0.0  0.4 426979552  32848   ??  S     5:31PM   0:01.55 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
rushikeshgade      597   0.0  0.1 426951504  12368   ??  S     5:31PM   0:00.13 /usr/libexec/ContinuityCaptureAgent server
rushikeshgade      599   0.0  0.6 427000224  54288   ??  S     5:31PM   0:03.86 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
rushikeshgade      598   0.0  0.1 410499744  12560   ??  S     5:31PM   0:00.54 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
rushikeshgade      595   0.0  0.2 426959504  15808   ??  S     5:31PM   0:00.39 /usr/libexec/neagent
rushikeshgade      592   0.0  0.4 426973616  34880   ??  S     5:31PM   0:20.46 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
rushikeshgade      594   0.0  0.1 426962048   4976   ??  S     5:31PM   0:00.06 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
rushikeshgade      593   0.0  0.2 426959792  17984   ??  S     5:31PM   0:00.42 /usr/libexec/pkd
_appleevents       574   0.0  0.0 426916640   1808   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
rushikeshgade      583   0.0  0.4 427119696  37712   ??  S     5:31PM   0:00.17 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
rushikeshgade      585   0.0  0.4 426976576  30448   ??  S     5:31PM   0:01.04 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
rushikeshgade      590   0.0  0.2 426974976  14208   ??  S     5:31PM   0:00.14 /System/Library/CoreServices/iconservicesagent
rushikeshgade      581   0.0  0.2 426951328  13408   ??  S     5:31PM   0:00.16 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
rushikeshgade      584   0.0  0.1 426950576  11360   ??  S     5:31PM   0:00.12 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
rushikeshgade      586   0.0  0.2 426961120  16928   ??  S     5:31PM   0:03.08 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
rushikeshgade      587   0.0  0.3 426967744  25248   ??  S     5:31PM   0:00.90 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
rushikeshgade      588   0.0  0.3 426968048  26688   ??  S     5:31PM   0:00.86 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
rushikeshgade      582   0.0  0.1 426949312   7696   ??  S     5:31PM   0:00.61 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
rushikeshgade      580   0.0  0.1 426952448  12064   ??  S     5:31PM   0:00.21 /System/Library/CoreServices/sharedfilelistd
root               579   0.0  0.0 426917920   1792   ??  Ss    5:31PM   0:00.02 automountd
rushikeshgade      578   0.0  0.0 426916816   3888   ??  S     5:31PM   0:00.34 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
rushikeshgade      577   0.0  0.3 426986032  24800   ??  S     5:31PM   0:00.41 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
rushikeshgade      576   0.0  0.3 411530256  25056   ??  S     5:31PM   0:00.36 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
root               575   0.0  0.2 426927392  13168   ??  Ss    5:31PM   0:01.12 /usr/sbin/filecoordinationd
rushikeshgade      573   0.0  0.5 427489744  40800   ??  S     5:31PM   0:00.66 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
rushikeshgade      572   0.0  0.2 426954656  13456   ??  S     5:31PM   0:06.59 /usr/libexec/trustd --agent
rushikeshgade      570   0.0  0.3 426963968  25264   ??  S     5:31PM   0:09.03 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
rushikeshgade      571   0.0  0.1 426960864  11168   ??  S     5:31PM   0:00.36 /usr/libexec/secinitd
rushikeshgade      568   0.0  0.1 426955472   7680   ??  S     5:31PM   0:00.14 /usr/libexec/dmd
rushikeshgade      567   0.0  0.3 426960736  28112   ??  S     5:31PM   0:00.63 /usr/libexec/knowledge-agent
rushikeshgade      565   0.0  0.3 426968384  21136   ??  S     5:31PM   0:03.14 /usr/libexec/secd
rushikeshgade      566   0.0  0.0 426916704   2192   ??  S     5:31PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
rushikeshgade      569   0.0  0.2 426902656  14528   ??  Ss    5:31PM   0:00.13 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
rushikeshgade      564   0.0  0.2 426960416  15120   ??  S     5:31PM   0:00.77 /usr/libexec/lsd
rushikeshgade      556   0.0  0.2 426967872  14448   ??  S     5:31PM   0:00.50 /System/Library/CoreServices/talagentd
rushikeshgade      561   0.0  1.3 412161392 109968   ??  R     5:31PM   0:30.13 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
rushikeshgade      560   0.0  0.4 411251600  33504   ??  S     5:31PM   0:00.37 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
rushikeshgade      559   0.0  0.7 412070144  60224   ??  S     5:31PM   0:06.57 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
root               558   0.0  0.2 426963872  17936   ??  Ss    5:31PM   0:00.20 /usr/libexec/findmydeviced
rushikeshgade      555   0.0  0.1 426926832   8976   ??  S     5:31PM   0:00.11 /usr/libexec/pboard
rushikeshgade      557   0.0  0.4 411834000  31824   ??  S     5:31PM   0:02.23 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
rushikeshgade      547   0.0  0.2 426952768  20688   ??  S     5:31PM   0:00.97 /usr/libexec/UserEventAgent (Aqua)
_cmiodalassistants   554   0.0  0.0 426949312   3472   ??  S     5:31PM   0:00.07 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
rushikeshgade      553   0.0  0.2 410842736  14016   ??  S     5:31PM   0:00.32 /usr/sbin/universalaccessd launchd -s
rushikeshgade      550   0.0  0.3 411261648  23904   ??  S     5:31PM   0:04.53 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
rushikeshgade      552   0.0  0.4 411396896  36976   ??  S     5:31PM   0:00.24 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
root               546   0.0  0.0 426916720   2336   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
_cmiodalassistants   545   0.0  0.1 426952880   6256   ??  S     5:31PM   0:00.12 /usr/libexec/trustd --agent
_cmiodalassistants   544   0.0  0.0 426916688   1840   ??  S     5:31PM   0:00.05 /usr/sbin/cfprefsd agent
root               543   0.0  0.0 426916576   3104   ??  Ss    5:31PM   0:00.07 /usr/sbin/BTLEServer
root               542   0.0  0.0 426916224   1488   ??  Ss    5:31PM   0:00.04 /usr/libexec/applekeystored
_cmiodalassistants   541   0.0  0.1 426960976   6832   ??  S     5:31PM   0:00.07 /usr/libexec/secinitd
_cmiodalassistants   540   0.0  0.1 426953456  10496   ??  S     5:31PM   0:00.17 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
rushikeshgade      539   0.0  0.1 426918000   5728   ??  S     5:31PM   0:03.08 /usr/sbin/cfprefsd agent
rushikeshgade      538   0.0  0.1 426916640   4672   ??  S     5:31PM   0:02.44 /usr/sbin/distnoted agent
root               537   0.0  0.2 426951168  16480   ??  Ss    5:31PM   0:00.11 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_spotlight         534   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
root               530   0.0  0.2 426954400  13600   ??  Ss    5:31PM   0:01.95 /usr/libexec/rtcreportingd
root               529   0.0  0.7 434812640  54880   ??  Ss    5:31PM   0:10.45 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               528   0.0  0.0 426917824   3984   ??  Ss    5:31PM   0:00.06 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
root               527   0.0  0.1 426954336   4592   ??  Ss    5:31PM   0:00.13 /usr/libexec/symptomsd-diag
_driverkit         522   0.0  0.0 426851696   1040   ??  Ss    5:31PM   0:00.05 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000bf2 com.apple.AppleUserHIDDrivers
_driverkit         521   0.0  0.0 426851488    960   ??  Ss    5:31PM   0:00.02 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000be1 com.apple.DriverKit-IOUserDockChannelSerial
_driverkit         520   0.0  0.4 426910512  33584   ??  Ss    5:31PM   0:15.83 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000ab0 com.apple.DriverKit-AppleBCMWLAN
root               519   0.0  0.0 426916800   2960   ??  S     5:31PM   0:00.20 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_modelmanagerd     518   0.0  0.1 426962240  10976   ??  Ss    5:31PM   0:00.13 /usr/libexec/modelmanagerd
root               517   0.0  0.0 426916160   3344   ??  Ss    5:31PM   0:00.03 /usr/libexec/bootinstalld
root               516   0.0  0.2 426975760  16720   ??  Ss    5:31PM   0:00.53 /usr/libexec/searchpartyd
root               514   0.0  0.1 426951648  10288   ??  Ss    5:31PM   0:00.44 /usr/libexec/audioanalyticsd
_coreaudiod        515   0.0  0.1 426949984   4224   ??  Ss    5:31PM   0:00.01 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
root               513   0.0  0.1 410620688  10816   ??  S     5:31PM   0:00.35 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
root               512   0.0  0.1 426951840   6672   ??  Ss    5:31PM   0:00.22 /System/Library/CoreServices/TimeMachine/backupd
root               511   0.0  0.1 410791648   4704   ??  Ss    5:31PM   0:02.03 /usr/libexec/audioclocksyncd
root               510   0.0  0.1 426950048   8064   ??  Ss    5:31PM   0:00.28 /usr/libexec/findmybeaconingd
_coreaudiod        509   0.0  0.0 410296528   2432   ??  Ss    5:31PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
_softwareupdate    501   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
_cmiodalassistants   508   0.0  0.1 426950960   6944   ??  Ss    5:31PM   0:00.10 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   506   0.0  0.1 426949840   4448   ??  Ss    5:31PM   0:00.03 /usr/libexec/cameracaptured
_appleevents       507   0.0  0.1 426950704   5184   ??  Ss    5:31PM   0:00.07 /System/Library/CoreServices/appleeventsd --server
_cmiodalassistants   504   0.0  0.1 426954592   6864   ??  Ss    5:31PM   0:00.26 /usr/sbin/appleh13camerad
root               505   0.0  0.0 426916736   3456   ??  Ss    5:31PM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root               503   0.0  0.1 426951056   8528   ??  Ss    5:31PM   0:00.22 /usr/sbin/WirelessRadioManagerd
root               502   0.0  0.2 426957152  18928   ??  Ss    5:31PM   0:05.29 /usr/libexec/syspolicyd
_coreaudiod        498   0.0  0.0 410182976   2032   ??  Ss    5:31PM   0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
root               500   0.0  0.0 426912848   2912   ??  Ss    5:31PM   0:00.02 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
root               499   0.0  0.1 426950496   5040   ??  Ss    5:31PM   0:00.16 /usr/libexec/securityd_system
