USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rushikeshgade     3245   0.0  0.1 426957840   7312   ??  Ss    5:43PM   0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
rushikeshgade     3243   0.0  0.0 410163616   1856   ??  Ss    5:43PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
rushikeshgade     2980   0.0  0.3 426965984  23744   ??  S     5:39PM   0:00.62 /System/iOSSupport/System/Library/PrivateFrameworks/HomeEnergyDaemon.framework/Support/homeenergyd
rushikeshgade     2233   0.0  0.0 410528208   3072 s004  Ss    5:37PM   0:00.21 /bin/zsh -il
_audiomxd         2230   0.0  0.1 426949280   9808   ??  Ss    5:37PM   0:00.14 /usr/libexec/audiomxd
rushikeshgade     2229   0.0  0.0 410435792   2448   ??  Ss    5:37PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              2228   0.0  0.0 426916704   3056   ??  Ss    5:37PM   0:00.05 /usr/libexec/betaenrollmentd
rushikeshgade     2227   0.0  0.1 426960032   6752   ??  S     5:37PM   0:00.07 /usr/libexec/betaenrollmentagent
rushikeshgade     2222   0.0  0.1 426950480  10480   ??  S     5:36PM   0:00.16 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
root              2209   0.0  0.1 426949984   9344   ??  Ss    5:36PM   0:00.09 /usr/libexec/powerdatad
root              2208   0.0  0.1 426918656   4832   ??  Ss    5:36PM   0:02.14 /usr/libexec/ASPCarryLog
rushikeshgade     2206   0.0  0.2 426954144  18016   ??  Ss    5:36PM   0:00.91 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
rushikeshgade     2204   0.0  0.0 426950416   4192   ??  S     5:36PM   0:00.13 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
rushikeshgade     2205   0.0  0.1 426912672   7488   ??  S     5:36PM   0:00.03 /usr/libexec/feedbackd
rushikeshgade     2184   0.0  4.7 1868973488 393024   ??  S     5:34PM   0:16.85 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=20 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=241316634 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=152
rushikeshgade     2170   0.0  0.4 426984224  32512   ??  Ss    5:34PM   0:00.34 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
rushikeshgade     2169   0.0  0.1 426926704   6752   ??  Ss    5:34PM   0:00.09 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
rushikeshgade     2166   0.0  0.2 426962880  18512   ??  S     5:34PM   0:00.66 /usr/libexec/tipsd
rushikeshgade     2162   0.0  0.2 411190384  17280   ??  Ss    5:33PM   0:00.48 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
rushikeshgade     2160   0.0  0.4 426990064  34832   ??  S     5:33PM   0:04.71 /usr/libexec/duetexpertd
rushikeshgade     2159   0.0  0.2 426962800  17360   ??  S     5:33PM   0:00.32 /usr/libexec/proactived
rushikeshgade     2158   0.0  0.2 426957728  17904   ??  S     5:33PM   0:00.35 /System/Library/PrivateFrameworks/People.framework/peopled
rushikeshgade     2157   0.0  0.2 427125568  17072   ??  S     5:33PM   0:00.25 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
rushikeshgade     2156   0.0  0.4 426962160  35600   ??  S     5:33PM   0:00.92 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
_rmd              2146   0.0  0.1 410754096   4512   ??  Ss    5:33PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
_rmd              2145   0.0  0.0 410753424   4160   ??  Ss    5:33PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              2144   0.0  0.1 410754048   6032   ??  Ss    5:33PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SoftwareUpdateSubscriber.xpc/Contents/MacOS/SoftwareUpdateSubscriber
_rmd              2143   0.0  0.1 410753456   4208   ??  Ss    5:33PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
_rmd              2142   0.0  0.1 410753472   4224   ??  Ss    5:33PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
_rmd              2141   0.0  0.0 410753440   4192   ??  Ss    5:33PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
_rmd              2140   0.0  0.1 410753952   6304   ??  Ss    5:33PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
_rmd              2139   0.0  0.1 410753424   4240   ??  Ss    5:33PM   0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
_rmd              2138   0.0  0.0 426916640   1808   ??  S     5:33PM   0:00.12 /usr/sbin/distnoted agent
_rmd              2137   0.0  0.1 410753488   4224   ??  Ss    5:33PM   0:00.05 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
rushikeshgade     2134   0.0  0.0 426912752   1552   ??  S     5:33PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fudHelperAgent
_rmd              2135   0.0  0.1 426951840   7088   ??  Ss    5:33PM   0:00.13 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
root              2136   0.0  0.0 410754320   3216   ??  Ss    5:33PM   0:00.03 /usr/libexec/online-auth-agent
rushikeshgade     2133   0.0  0.1 426949344   4224   ??  S     5:33PM   0:00.05 /usr/libexec/naturallanguaged
rushikeshgade     2132   0.0  0.1 426954912  11120   ??  S     5:33PM   0:00.10 /usr/libexec/keyboardservicesd
rushikeshgade     2131   0.0  0.6 427409680  50192   ??  S     5:33PM   0:00.82 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
rushikeshgade     2117   0.0  0.1 426926368   9168   ??  S     5:32PM   0:00.05 /usr/libexec/swcd
rushikeshgade     2112   0.0  0.1 426926480   7200   ??  S     5:32PM   0:00.15 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
rushikeshgade     2100   0.0  0.1 426959456   7584   ??  S     5:32PM   0:00.10 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
rushikeshgade     2094   0.0  0.6 444172304  51008   ??  S     5:32PM   0:00.33 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=53
rushikeshgade     2093   0.0  1.1 444356832  95744   ??  S     5:32PM   0:04.13 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=27
rushikeshgade     2092   0.0  1.4 444532944 117488   ??  S     5:32PM   0:06.40 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU) --type=gpu-process --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAMAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=27
rushikeshgade     2088   0.0  0.0 443692784   3472   ??  S     5:32PM   0:00.02 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/rushikeshgade/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=137.0.7151.104 --handshake-fd=5
root              2086   0.0  0.0 410294480   2432   ??  Ss    5:32PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     2084   0.0  3.5 478313600 295120   ??  S     5:32PM   0:27.74 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
rushikeshgade     2082   0.0  0.2 426960992  12800   ??  S     5:32PM   0:00.18 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
rushikeshgade     2080   0.0  0.2 426965280  14880   ??  S     5:32PM   0:00.47 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
rushikeshgade     2079   0.0  0.2 426963872  16672   ??  S     5:32PM   0:00.33 /usr/libexec/adprivacyd
rushikeshgade     2074   0.0  0.3 426979712  21440   ??  Ss    5:32PM   0:00.77 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
rushikeshgade     2020   0.0  0.1 411183904  10160   ??  S     5:32PM   0:00.68 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
rushikeshgade     1936   0.0  5.9 1628680816 496032   ??  S     5:32PM   1:10.93 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/rushikeshgade/.vscode/extensions/ms-python.vscode-pylance-2025.6.1/dist/server.bundle.js --cancellationReceive=file:e9eed674952121d2ddf90dae03295d59d579d2703a --node-ipc --clientProcessId=1916
rushikeshgade     1921   0.0  0.5 1621822528  43008   ??  S     5:32PM   0:00.32 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=1916
rushikeshgade     1918   0.0  0.0 410237120   1296 s002  Ss+   5:32PM   0:00.01 /bin/zsh -i
rushikeshgade     1916   0.0  1.5 1623576480 121904   ??  S     5:32PM   0:10.98 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
rushikeshgade     1915   0.0  0.5 1623583888  44016   ??  S     5:32PM   0:01.78 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
rushikeshgade     1913   0.0  0.2 426962192  12720   ??  S     5:32PM   0:00.21 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
_fpsd             1906   0.0  0.0 426954752   2512   ??  Ss    5:32PM   0:02.46 /usr/libexec/fairplaydeviceidentityd
rushikeshgade     1905   0.0  0.2 426968384  15456   ??  S     5:32PM   0:00.43 /usr/libexec/promotedcontentd
root              1903   0.0  0.2 426954832  14064   ??  S     5:31PM   0:00.26 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root              1902   0.0  0.0 426949456   3344   ??  Ss    5:31PM   0:00.09 /System/Library/CoreServices/SubmitDiagInfo server-init
_netbios          1901   0.0  0.0 426917104   3536   ??  SNs   5:31PM   0:00.16 /usr/sbin/netbiosd
